Detail,prix,address,image_lien,nombre_chambre,superficie(m²)
Appartement f4 neuf à louer à mermoz,1000000,"Mermoz,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,180
Appartement f4 neuf à louer à mermoz,800000,"Mermoz,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,170
Appartement F4 à louer aux Almadies,1800000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,220
APPARTEMENT A LOUER AUX ALMADIES,1500000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,171
Appartement F4 yoff virage,1500000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,210
Appartement haut standing à louer aux Almadies,1100000,"Médina,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,4,200
"Appartement, studio, chambre à louer",1,"Hann maristes,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,2,25
2 CHAMBRES A LOUER NGOR-ALMADIES,500000,"Ngor,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,2,100
Appartement f4 a louer almadies 2,260000,"Almadies 2,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,160
Grand Penthouse de haut standing à louer à Mermoz,2200000,"Point-e,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,365,365
Jolie Appartement Corniche Mamel,475000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,2,200
Appartement meublé,100000,"Virage,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,4,225
Somptueux F4 sur la corniche,1500000,"Ouakam,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,250
Appartement F4 à louer aux Almadies,1600000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,250
Allamadies zone de recasment,500000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,200
Allmadies derrière 2k plaza,800000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,2,200
Allamadies zone de recasment,350000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,2,175
Appartement F6 de 300 m2 à louer à Yoff,1300000,"Yoff,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,4,300
"Appartement de grand standing à louer à Yoff, f5 sur 225 m2",800000,"Sicap foire,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,4,225
STUDIO A LOUER,275000,"Liberte 6 extension,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,1,110
JÔLI APPARTEMENT À ONOMO,600000,"Virage,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,175
CHIC APPARTEMENT MEUBLÉ SUR LA VDN,850000,"VDN,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,2,120
Appartement F3 à louer aux Mamelles cité Mbackiyou Faye,300000,"Mamelles,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,2,110
DES APPARTEMENT NEUFS A LOUER A LIBERTE 02,450000,"Liberte 2,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,2,68
Apparemment à louer à Mermoz,650000,"Mermoz,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,3,150
STUDIO NEUF A LOUER A NGOR-ALMADIES,300000,"Ngor,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/d26fcb9fcdfda3ceb844c0caf117522d/-/horizon-files-prod/ed/picture/qpd67j64/d240b525d9aef8c40d823093bc767beda4360aa4.jpg,1,70
Grand apt de luxe au mariste,600000,"Hann maristes,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,250
Apartement cite africa a 2 munite à jean Mermoz,1500000,"Ouakam,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,200
Location Appartement Haut Standing à Saly,320000,"Saly Portudal,Thiès",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,2,87
Appartement f5 à louer au mamelle,600000,"Mamelles,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,4,170
Appartement F3 à louer au Point E,800000,"Point-e,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,2,120
Appartement 4 chambres salon neuf corniche des Almadies,2200000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,4,283
Appartement 5 pièces aux Almadies (Corniche),1800000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,240
Appartements F4 (212m2) neufs au Point E,1500000,"Point-e,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,3,212
Appartement 4 chambres salon grand standing au Virage,1350000,"Virage,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,4,240
Duplex à louer aux ngor almadies,700000,"Almadies,Dakar",https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb2592b66e75a00b5b10ad53dba2dabe/-/horizon-files-prod/ed/picture/qkrg8nmv/1cc100fc45c9cc5d9ff0fb3440cb9eed9e1b03f5.jpg,4,200
